German,English
abends,in the evenings
aber,but
alles,everything
also,well
alt,old
anmelden,to register
anrufen,to call
antworten,to answer
arbeiten,to work
auf,on
aufstehen,to get up
baden,to bath
beginnen,to start
bei,at
beide,both
bekommen,to receive
benutzen,to use
besser,better
billig,cheap
bis,until
bisschen,a little
bitte,please
brauchen,to need
breit,wide
buchstabieren,to spell
circa,around
da,there
danke,thank you
dann,then
das Angebot,the offer
das Arbeitszimmer,the workroom
das Bad,the bath
das Badezimmer,the bathroom
das Beispiel,the example
das Bett,the bed
das Bier,the beer
das Bild,the image
das Bistro,the bistro
das Blatt,the sheet
das Brot,the bread
das Brötchen,the bread roll
das Buch,the book
das Büro,the office
das Computerspiel,the computer game
das Ei,the egg
das Einfamilienhaus,the detached hosue
das Elektrogerät,the electronic device
das Erdgeschoss,the ground floor
das Familienfoto,the family photo
das Fenster,the window
das Fleisch,the meat
das Foto,the photo
das Frühstück,the breakfast
das Geld,the money
das Gemüse,the vegetables
das Gerät,the appliance
das Geschäft,the business
das Gespräch,the interview
das Getränk,the drink
das Glas,the glass
das Gramm,the gram
das Haus,the house
das Haustier,the pet
das Heft,the booklet
das Heimatland,the home country
das Hochhaus,the high
das Jahr,the year
das Kilo,the kilo
das Kind,the child
das Kinderzimmer,the child's room
das Kursbuch,the course book
das Lammfleisch,the lamb meat
das Land,the country
das Lebensmittel,the groceries
das Mehl,the flour
das Mehrfamilienhaus,the apartment building
das Milchprodukt,the dairy product
das Obergeschoss,the upper floor
das Obst,the fruit
das Olivenöl,the olive oil
das Papier,the paper
das Pfund,the pound
das Problem,the problem
das Regal,the shelves
das Reihenhaus,the terraced house
das Rindfleisch,the beef
das Salz,the salt
das Schlafzimmer,the bedroom
das Schweinefleisch,the pork
das Sofa,the sofa
das Sonderangebot,the special offer
das Spiel,the game
das Stück,the piece
das Übungsbuch,the exercise book
das Viertel,the quarter to
das Wasser,the water
das WC,the WC
das Wiedersehen,the good bye
das Wochenende,the weekend
das Wohnzimmer,the living room
das Wort,the word
das Wörterbuch,the dictionary
das Zentrum,the centre
dazu,in addition
dein,your
denn,because
der Abend,the evening
der Alltag,the everyday
der Altbau,the old building
der Apfel,the apple
der Apfelsaft,the apple juice
der Balkon,the balcony
der Bauernhof,the farm
der Becher,the container
der Besichtigungstermin,the appointment
der Bleistift,the pencil
der Bruder,the brother
der Cent,the cent
der Computer,the computer
der Couscous,the couscous
der Deutschkurs,the German course
der Dialog,the dialogue
der Dienstag,Tuesday
der Donnerstag,Thursday
der Einkaufszettel,the shopping list
der Euro,the euro
der Familienname,the surname
der Familienstand,the marital status
der Feiertag,the public holiday
der Fernseher,the television
der Film,the film
der Fisch,the fish
der Flur,the corridor
der Freitag,Friday
der Freund,the friend
der Fußball,the football
der Garten,the garden
der Gast,the guest
der Gruß,the greeting
der Herd,the stove
der Honig,the honey
der Hunger,the hunger
der Joghurt,the yoghurt
der Juni,the june
der Kaffee,the coffee
der Käse,the cheese
der Keks,the biscuit
der Keller,the celler
der Kindergarten,the nursery
der Kleiderschrank,the wardrobe
der Kontakt,the contact
der Kuchen,the cake
der Kugelschreiber,the ball
der Kühlschrank,the fridge
der Kunde,the customer
der Kurs,the course
der Kursraum,the classroom
der Kursteilnehmer,the course participant
der Lehrer,the teacher
der Liter,the litre
der Mann,the man
der Markt,the market
der Mittag,the midday
der Mittwoch,Wednesday
der Monat,the month
der Montag,Monday
der Morgen,the morning
der Müll,the rubbish
der Nachmittag,the afternoon
der Nachname,the last name
der Name,the name
der Obstsalat,the fruit salad
der Ort,the place
der Papierkorb,the waste paper bin
der Partner,the partner
der Pilz,the mushroom
der Plan,the plan
der Preis,the price
der Projektor,the projector
der Pudding,the pudding
der Quadratmeter,the squaremetre
der Radiergummi,the eraser
der Raum,the room
der Reis,the rice
der Rucksack,the backpack
der Saft,the juice
der Salat,the salad
der Samstag,Saturday
der Satz,the sentence
der Schluss,the decision
der Schlüssel,the key
der Schrank,the cupboard
der Schwiegervater,the step-father
der Sessel,the armchair
der Sohn,the son
der Sonntag,Sunday
der Spaß,the fun
der Spitzer,the pencil sharpener
der Sport,the sport
der Stuhl,the chair
der Stundenplan,the schedule
der Supermarkt,the supermarket
der Tag,the day
der Tee,the tea
der Teppich,the carpet
der Text,the text
der Tipp,the tip
der Tisch,the table
der Unterricht,the lesson
der Vater,the father
der Verkäufer,the salesperson
der Vorname,the forename
der Wein,the wine
der Wohnort,the place of residence
der Zettel,the note
der Zucker,the sugar
Deutsch,German
die Adresse,the address
die Angabe,the detail
die Anmeldung,the registration
die Antwort,the answer
die Anzeige,the advert
die Arbeit,the work
die Aufgabe,the task
die Aussage,the statement
die Babynahrung,the baby food
die Badewanne,the bathtub
die Banane,the banana
die Birne,the pear
die Blaubeere,the blueberry
die Bohne,the bean
die Cola,the cola
die Diele,the hallway
die Dose,the jar
die Dusche,the shower
die E-mail,the email
die Eltern,the parents
die Entschuldigung,the apology
die Erbse,the pea
die Erdbeere,the strawberry
die Familie,the family
die Firma,the company
die Flasche,the bottle
die Form,the form
die Frage,the question
die Frau,the woman
die Garage,the garage
die Geschwister,the siblings
die Grammatik,the grammar
die Größe,the size
die Handynummer,the mobile number
die Hauptsache,the main thing
die Hausaufgabe,the homework
die Hausnummer,the house number
die Heizung,the heating
die Hilfe,the help
die Himbeere,the raspberry
die Idee,the idea
die Immobilie,the property
die Information,the information
die Kaffeemaschine,the coffee machine
die Karte,the card
die Kartoffel,the potato
die Kaution,the deposit
die Kichererbse,the chickpea
die Kirsche,the cherry
die Kiwi,the kiwi
die Kontrolle,the control
die Küche,the kitchen
die Lampe,the lamp
die Landkarte,the map
die Limonade,the lemonade
die Liste,the list
die Mandarine,the mandarine
die Mango,the mango
die Marmelade,the jam
die Melone,the melon
die Mengenangabe,the amount
die Miete,the rent
die Milch,the milk
die Mittagspause,the lunchtime
die Möbel,the furniture
die Möhre,the carrot
die Monatsmiete,the monthly rent
die Musik,the music
die Mutter,the mother
die Nacht,the night
die Nebenkosten,the additional costs
die Nudel,the pasta
die Orange,the orange
die Packung,the packaging
die Paprika,the pepper
die Pause,the break
die Person,the person
die Pflanze,the plant
die Pizza,the pizza
die Postleitzahl,the postcode
die Sache,the thing
die Sahne,the cream
die Schokolade,the chocolate
die Schule,the school
die Schwägerin,the sister-in-law
die Schwester,the sister
die Schwiegertochter,the step-daughter
die Seite,the page
die Sonne,the sun
die Sprache,the language
die Sprachschule,the language school
die Spülmaschine,the dishwasher
die Stadt,the city
die Straße,the street
die Stunde,the hour
die Tafel,the blackboard
die Tasche,the bag
die Tasse,the cup
die Telefonnummer,the telephone number
die Terrasse,the terrace
die Tochter,the daughter
die Toilette,the toilet
die Tomate,the tomato
die Traube,the grape
die Traumwohnung,the dream flat
die Tür,the door
die Übung,the exercise
die Uhr,the clock
die Wand,the wall
die Waschmaschine,the washing machine
die Woche,the week
die Wohnung,the flat
die Wohnungsanzeige,the flat advertisement
die Wohnungssuche,the search for housing
die Zahl,the number
die Zeit,the time
die Zeitung,the newspaper
die Zitrone,the lemon
die Zwiebel,the onion
diese,this
direkt,direct
draußen,outside
dringend,urgent
du,you
dunkel,dark
durch,through
ein,a
einige,a few
einkaufen,to shop
einmal,once again
endlich,finally
er,he
erklären,to explain
ersetzen,to replace
erst,first
es,it
essen,to eat
etwas,something
falsch,wrong
fernsehen,to watch television
fertig,finished
finden,to find
fragen,to ask
frei,free
frisch,fresh
früh,early
frühstücken,to breakfast
für,for
ganz,whole
gehen,to go
gemeinsam,together
gemütlich,comfortable
genau,exactly
geöffnet,open
gepflegt,looked after
gern,very much
geschieden,divorced
gestern,yesterday
gleich,the same
grillen,to grill
groß,big
grün,green
gut,good
haben,to have
halb,half past
hallo,hello
hängen,to hang
hässlich,ugly
heißen,to be called
helfen,to help
hell,light
Herr,Mr
heute,today
hier,here
hinten,behind
hören,to hear
ich,I
ihr,her
immer,always
in,in
insgesamt,in total
interessant,interesting
ja,yes
jeder,every
jetzt,now
kalt,cold
kaufen,to buy
klein,small
knifflig,tricky
kochen,to cook
kommen,to come from
können,to be able to
kosten,to cost
kurz,short
lang,long
langsam,slowly
lassen,to leave
laut,loud
lecker,delicious
ledig,single
leider,unfortunately
lesen,to read
liebe,dear
liebsten,favourite
liegen,to lie
machen,to make
man,one
manchmal,sometimes
maximal,maximal
mehr,more
mein,my
meistens,mostly
mindestens,at least
mit,with
mittags,at midday
möbliert,furnished
modern,modern
mögen,to like
morgen,tomorrow
morgens,in the mornings
müde,tired
müssen,to have to
nach,after
nachmittags,in the afternoons
nachts,at night
natürlich,of course
neben,next to
nehmen,to take
nein,no
nett,nice
neu,new
nicht,not
nie,never
noch,also
nur,only
oder,or
oft,often
ohne,without
ordnen,to order
planen,to plan
pro,per
putzen,to clean
richtig,correct
ruhig,peaceful
schade,shame
schauen,to look
schlafen,to sleep
schmal,narrow
schmecken,to taste
schnell,fast
schön,beautiful
schreiben,to write
sehr,very
sich,oneself
sie,they
singen,to sing
sitzen,to sit
so,so
sofort,straight away
sollen,to be supposed to
sonst,otherwise
sonstiges,other
spät,late
spazieren,to walk
spülen,to rinse
stehen,to stand
streichen,to paint
suchen,to look for
super,super
supergut,very good
telefonieren,to telephone
teuer,expensive
toll,great
trinken,to drink
Tschüss,bye
tun,to do
über,about
übermorgen,the day after tomorrow
unbedingt,definitely
und,and
ungemütlich,uncomfortable
unser,our
unterstreichen,to emphasize
verbinden,to connect
vergleichen,to compare
verheiratet,married
verstehen,to understand
verwitwet,widowed
viel,many
vor,before
vorgestern,the day before yesterday
vormittags,in the morning
vorstellen,to introduce
wann,when
warum,why
was,what
waschen,to wash
wegziehen,to move away
weiter,further
welche,which
wenn,if
wer,who
werden,to become
wichtig,important
wie,how
willkommen,to welcome
wir,we
wissen,to know
wo,where
woher,where … from
wohnen,to live
wunderschön,very beautiful
wünschen,to wish
zahlen,to count
zeichnen,to draw
zeigen,to show
zu,to
zu Fuß,on foot
